Recursion, Matrix Multiplication
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.001000, 0.000000
0.000000, 0.000000
0.001000, 0.000000
0.002000, 0.000000
0.001000, 0.000000
0.003000, 0.000000
0.004000, 0.000000
0.006000, 0.000000
0.011000, 0.000000
0.018000, 0.000000
0.026000, 0.000000
0.043000, 0.000000
0.057000, 0.000000
0.100000, 0.000000
0.152000, 0.000000
0.252000, 0.000000
0.409000, 0.000000
0.684000, 0.000000
1.091000, 0.000000
1.940000, 0.000000
3.262000, 0.000000
4.640000, 0.000000
7.790000, 0.000000
12.775000, 0.000000
20.390000, 0.000000
33.284000, 0.000000
54.905000, 0.000000
